trial,lr,hidden_size,depth,dropout,ffn_hidden,weight_decay,batch_size,rank_weight,reg_weight,val_mean_acc,val_mu_e_acc,val_mu_h_acc,val_mu_e_rho,val_mu_h_rho,best_epoch,n_params,delta_scale
9,0.001,256,6,0.1,128,0.001,32,0.8,0.2,0.7656,0.7701,0.7611,0.3027,0.3615,38,214978,1.043
4,0.001,128,6,0.1,64,0.001,64,0.8,0.2,0.705,0.6667,0.7434,0.0533,0.3168,40,64482,1.043
5,0.0003,300,4,0.1,150,1e-05,64,0.6,0.4,0.7032,0.6897,0.7168,0.0876,0.281,36,286577,1.043
1,0.001,128,3,0.3,64,0.0001,32,0.8,0.2,0.6625,0.6437,0.6814,0.0242,0.2178,37,64482,1.043
8,0.0003,300,3,0.2,150,1e-05,64,1.0,0.0,0.6581,0.6437,0.6726,0.0592,0.2171,37,286577,1.043
10,0.001,128,4,0.1,64,1e-05,32,0.6,0.4,0.6524,0.6322,0.6726,0.1058,0.2569,37,64482,1.043
3,0.0003,128,3,0.1,64,1e-05,32,1.0,0.0,0.6497,0.6092,0.6903,-0.0335,0.1877,33,64482,1.043
6,0.0003,128,3,0.2,64,1e-05,32,0.6,0.4,0.5953,0.5977,0.5929,0.0497,0.2494,40,64482,1.043
7,0.0001,256,4,0.3,128,0.0001,32,1.0,0.0,0.5117,0.4483,0.5752,-0.273,0.1633,16,214978,1.043
2,0.0001,300,3,0.3,150,0.001,32,1.0,0.0,0.4671,0.3678,0.5664,-0.2919,0.139,18,286577,1.043
